pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,gw_mac,gw_flip,label,attack_type,timestamp
45917,BEACON,-79,18,0,1155,65968,58444,1626,0,2,0,0,0,14:33:5C:6D:AF:58,0,0,CALIB,1.0,0,1,80:02:9C:61:97:4B,11,23,253.0,-,0,0,NONE,2026-08-19T16:17:53.217223
45917,,38,38,0,1023,65524,58444,1833,0,2,0,1,0,14:33:5C:6D:AF:58,0,1,CALIB,1.0,0,0,80:02:9C:61:97:4B,11,18,206.7,-,0,0,NONE,2026-08-19T16:17:53.271130
45917,,28,28,0,1023,65524,58444,2008,0,2,0,2,0,14:33:5C:6D:AF:58,0,1,CALIB,1.0,0,0,80:02:9C:61:97:4B,11,11,191.3,-,0,0,NONE,2026-08-19T16:17:53.271599
45917,,25,25,0,1023,65512,57436,3489,0,7,0,11,0,14:33:5C:6D:AF:58,0,1,CALIB,1.0,0,1,80:02:9C:61:97:4B,11,3,1237.1,80:02:9C:61:97:4A,0,0,NONE,2026-08-19T16:17:53.272311
45917,MGMT_OTHER,-91,6,2000,3011,65512,57436,3558,0,7,0,12,0,14:33:5C:6D:AF:58,0,1,CALIB,1.0,0,1,80:02:9C:61:97:4B,11,53,739.1,80:02:9C:61:97:4A,0,0,NONE,2026-08-19T16:17:53.272697
45917,,39,39,0,0,65512,57436,3606,0,7,0,13,0,14:33:5C:6D:AF:58,0,1,CALIB,1.0,0,1,80:02:9C:61:97:4B,11,9,504.1,80:02:9C:61:97:4A,0,0,NONE,2026-08-19T16:17:53.273011
45917,BEACON,-78,19,0,1079,65512,57436,3834,0,7,0,14,0,14:33:5C:6D:AF:58,0,0,CALIB,1.0,0,1,80:02:9C:61:97:4B,11,12,287.7,80:02:9C:61:97:4A,0,0,NONE,2026-08-19T16:17:53.273287
45917,,28,28,0,1070,65512,57436,4024,0,7,0,15,0,14:33:5C:6D:AF:58,0,0,CALIB,1.0,0,0,80:02:9C:61:97:4B,11,7,358.4,80:02:9C:61:97:4A,0,0,NONE,2026-08-19T16:17:53.273612
45917,,39,39,0,1072,65512,57436,4223,0,7,0,16,0,14:33:5C:6D:AF:58,0,0,CALIB,1.0,0,0,80:02:9C:61:97:4B,11,6,442.2,80:02:9C:61:97:4A,0,0,NONE,2026-08-19T16:17:53.274071
45917,,28,28,0,3207,65512,57436,4371,0,7,0,17,0,14:33:5C:6D:AF:58,0,0,CALIB,1.0,0,0,80:02:9C:61:97:4B,11,30,487.3,80:02:9C:61:97:4A,0,0,NONE,2026-08-19T16:17:53.274388
45917,,39,39,0,1023,65512,57436,4450,0,7,0,18,0,14:33:5C:6D:AF:58,0,1,CALIB,1.0,0,0,80:02:9C:61:97:4B,11,32,795.8,80:02:9C:61:97:4A,0,0,NONE,2026-08-19T16:17:53.274686
