pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,gw_mac,gw_flip,label,attack_type,timestamp
45917,,-62,35,0,3307,63388,42708,7959473,0,99,8,0,0,14:33:5C:6D:AF:58,0,1,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,5,947.9,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:53:59.364434
45917,BEACON,-88,9,0,370,65172,42708,7960239,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,1,20.0,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:00.130434
45917,,46,46,0,0,65172,42708,7960651,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,14,263.7,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:00.542434
45917,,46,46,0,0,65172,42708,7960878,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,26,348.4,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:00.766985
45917,,46,46,0,0,65172,42708,7961537,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,3,145.5,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:01.425985
45917,BEACON,-61,36,0,3332,65172,42708,7961827,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,1,273.6,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:01.715985
45917,,-62,35,554,2614,65172,42708,7962384,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,6,119.3,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:02.272985
45917,BEACON,-62,35,0,3344,65172,42708,7962953,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,9,87.9,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:02.841985
45917,BEACON,-63,34,0,3346,65172,42708,7963158,0,99,8,0,0,14:33:5C:6D:AF:58,0,1,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,1,273.7,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:03.046985
45917,,-61,36,292,2651,65172,42708,7963780,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,7,954.2,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:03.668985
45917,,47,47,0,0,65172,42708,7964198,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,13,802.2,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:04.086985
45917,,-61,36,89133,2657,65172,42708,7964526,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,2,54.4,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:04.414985
45917,,50,50,0,0,65172,42708,7965071,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,3,43.3,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:04.959985
45917,BEACON,-93,4,0,575,65172,42708,7965476,0,99,8,0,0,14:33:5C:6D:AF:58,0,1,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,1,15.4,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:05.364985
45917,,-59,38,292,2721,65172,42708,7965669,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,23,418.2,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:05.557985
45917,BEACON,-86,11,0,2083,65172,42708,7966250,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,1,49.7,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:06.138985
45917,BEACON,-96,1,0,2358,65172,42708,7967148,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,6,60.7,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:07.036985
45917,,-64,33,292,2742,65172,42708,7967736,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,14,192.9,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:07.624985
45917,BEACON,-66,31,465511,3400,65172,42708,7968381,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,7,68.4,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:08.269985
45917,,-63,34,292,2754,65172,42708,7968924,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,12,383.6,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:08.812985
45917,,-60,37,525,874,65172,42708,7968976,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,62,746.0,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:08.864985
45917,BEACON,-85,12,77950,2506,65172,42708,7969646,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,1,27.4,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:09.534985
45917,,50,50,0,0,65172,42708,7970365,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,3,78.0,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:10.253985
45917,,51,51,0,0,65172,42708,7970767,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,18,568.4,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:10.655985
45917,,36,36,0,0,65172,42708,7970980,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,9,228.2,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:10.868985
45917,BEACON,-95,2,0,632,65172,42708,7971312,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,5,77.2,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:11.200985
45917,BEACON,-96,1,0,636,65172,42708,7971732,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,27,363.6,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:11.620985
45917,PROBE_RESP,-89,8,0,1739,65172,42708,7972383,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,1,117.9,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:12.271985
45917,BEACON,-72,25,64,3443,65172,42708,7972477,0,99,8,0,0,14:33:5C:6D:AF:58,0,1,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,51,498.0,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:12.365985
45917,BEACON,-95,2,0,712,65172,42708,7973057,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,4,58.0,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:12.945985
45917,BEACON,-96,1,0,653,65172,42708,7973463,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,3,46.3,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:13.351985
45917,,36,36,0,0,65172,42708,7974095,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,10,120.9,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:13.983985
45917,,50,50,0,0,65172,42708,7974201,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,37,438.8,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:14.089985
45917,BEACON,-92,5,0,727,65172,42708,7974593,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,4,58.0,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:14.481985
45917,BEACON,-90,7,0,515,65172,42708,7975087,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,3,60.0,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:14.975985
45917,BEACON,-92,5,0,676,65172,42708,7975818,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,4,61.8,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:15.706985
45917,,-62,35,292,2896,65172,42708,7975953,0,99,8,0,0,14:33:5C:6D:AF:58,0,1,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,24,247.5,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:15.841985
45917,MGMT_OTHER,-95,2,0,2950,65172,42708,7976729,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,8,147.3,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:16.617985
45917,BEACON,-94,3,0,693,65172,42708,7977559,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,3,46.3,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:17.447985
45917,BEACON,-93,4,0,699,65172,42708,7978173,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,4,61.8,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:18.061985
45917,BEACON,-91,6,141009,551,65172,42708,7978773,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,4,80.0,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:18.661985
45917,,49,49,0,0,65172,42708,7979183,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,6,119.3,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:19.071985
45917,,-60,37,677,992,65172,42708,7979359,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,17,792.3,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:19.247985
45917,,37,37,0,0,65172,42708,7979664,0,99,8,0,0,14:33:5C:6D:AF:58,0,1,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,4,207.8,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:19.552985
45917,BEACON,-75,22,62583,3527,65172,42708,7980361,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,5,48.8,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:20.249985
45917,BEACON,-86,11,54,2618,65172,42708,7981123,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,4,89.8,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:21.011985
45917,,-60,37,0,2961,62076,42708,7981763,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,0,80:02:9C:61:97:4B,11,8,114.0,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:21.651985
45917,BEACON,-87,10,0,2630,65172,42708,7982343,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,3,82.4,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:22.231985
45917,BEACON,-90,7,0,592,65172,42708,7982971,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,17,339.9,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:22.859985
45917,BEACON,-83,14,0,2638,65172,42708,7983162,0,99,8,0,0,14:33:5C:6D:AF:58,0,0,ARMED,112.0,0,1,80:02:9C:61:97:4B,11,2,54.8,80:02:9C:61:97:4A,0,0,NONE,2026-08-25T23:54:23.050985
