pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,win_deauth,win_probe,win_beacon,win_auth,gw_mac,gw_flip,label,attack_type,timestamp
45917,,-68,29,479,820,65296,42840,3202298,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,6,263.8,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:44.265184
45917,BEACON,-92,5,0,1262,65296,42840,3202711,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,195.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:44.676354
45917,,-55,42,651,554,65296,42840,3203273,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,17,223.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:45.238354
45917,BEACON,-95,2,0,1720,65296,42840,3203648,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,4,96.9,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:45.613354
45917,BEACON,-94,3,0,1724,65296,42840,3204057,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,121.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:46.022354
45917,BEACON,-62,35,0,3346,65296,42840,3204643,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,1,77.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:46.608354
45917,BEACON,-93,4,0,399,65296,42840,3205470,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,3,147.2,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:47.435354
45917,BEACON,-63,34,0,3360,65296,42840,3205975,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,1,78.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:47.940354
45917,BEACON,-90,7,53,1300,65296,42840,3206602,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,7,273.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:48.567354
45917,,-45,52,4571,3697,65296,42840,3206965,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,12,146.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:48.930354
45917,,-66,31,292,914,65296,42840,3207658,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,14,240.7,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:49.623354
45917,BEACON,-72,25,0,3383,65296,42840,3208227,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,1,77.7,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:50.192354
45917,BEACON,-93,4,117650,4057,65296,42840,3208687,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,79.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:50.652354
45917,BEACON,-62,35,53,3394,65296,42840,3209251,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,18,1178.2,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:51.216354
45917,BEACON,-79,18,0,2446,65296,42840,3210160,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,6,58.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:52.125354
45917,BEACON,-91,6,0,1340,65296,42840,3210288,0,99,9,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,3,117.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:52.253354
45917,,-63,34,292,961,65296,42840,3210963,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,16,186.7,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:52.928354
