pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,deauth_tgt,seq_jump,ap_bssid,channel,label,attack_type,timestamp
45917,BEACON,-90,2,0,2891,69844,44280,8046920,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:26.298014
45917,,-89,3,14010,3504,69844,44280,8047191,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:26.569014
45917,,-90,2,2096,2678,69844,44280,8047441,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:26.819014
45917,AUTH,-88,4,23188,3430,69844,44280,8047691,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:27.069014
45917,,-91,1,3053,3005,69844,44280,8047855,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:27.233014
45917,,-90,2,4753,2345,69844,44280,8048050,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:27.428014
45917,PROBE_RESP,-91,1,360,2,69844,44280,8048336,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:27.714014
45917,MGMT_OTHER,-88,4,9154,3476,69844,44280,8048491,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:27.869014
45917,BEACON,-79,13,0,3388,69844,44280,8048836,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:28.214014
45917,,-85,7,8326,1193,69844,44280,8049072,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:28.450014
45917,MGMT_OTHER,-83,9,1575,1166,69844,44280,8049271,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:28.649014
45917,BEACON,-91,1,0,3615,69844,44280,8049573,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:28.951014
45917,,-85,6,2666,646,69844,44280,8049881,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:29.259014
45917,PROBE_RESP,-88,3,0,1,69844,44280,8050161,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:29.539014
45917,MGMT_OTHER,-86,5,0,1662,69844,44280,8050280,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:29.658014
45917,BEACON,-82,9,0,3404,69844,44280,8050474,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:29.852014
45917,BEACON,-86,5,0,258,69844,44280,8050600,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:29.978014
45917,,12,12,0,564,69844,44280,8050762,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:30.140014
45917,,-90,1,7595,791,69844,44280,8050957,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:30.335014
45917,BEACON,-96,-5,4596,209,69844,44280,8051185,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:30.563014
45917,MGMT_OTHER,-92,-1,1313,4035,69844,44280,8051429,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:30.804533
45917,BEACON,-82,9,298,3452,69844,44280,8051702,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:31.077533
45917,PROBE_RESP,-90,1,0,0,69844,44280,8051929,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:31.304533
45917,BEACON,-53,38,0,3004,69844,44280,8052147,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:31.522533
