window_start,total_packets,packet_density,beacon_packets,deauth_packets,deauth_targeted,probe_packets,auth_packets,seq_jump,rssi_mean,rssi_var,snr_mean,heap,minheap,reconn,qpeak,udpfail,backlog,label,attack_type
2026-08-05T00:32:26.200000,1,10.0,1,0,0,0,0,0,-90.0,0.0,2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:26.500000,1,10.0,0,0,0,0,0,1,-89.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:26.800000,1,10.0,0,0,0,0,0,1,-90.0,0.0,2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:27,1,10.0,0,0,0,0,1,1,-88.0,0.0,4.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:27.200000,1,10.0,0,0,0,0,0,1,-91.0,0.0,1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:27.400000,1,10.0,0,0,0,0,0,1,-90.0,0.0,2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:27.700000,1,10.0,0,0,0,1,0,0,-91.0,0.0,1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:27.800000,1,10.0,0,0,0,0,0,1,-88.0,0.0,4.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:28.200000,1,10.0,1,0,0,0,0,0,-79.0,0.0,13.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:28.400000,1,10.0,0,0,0,0,0,1,-85.0,0.0,7.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:28.600000,1,10.0,0,0,0,0,0,1,-83.0,0.0,9.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:28.900000,1,10.0,1,0,0,0,0,1,-91.0,0.0,1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:29.200000,1,10.0,0,0,0,0,0,1,-85.0,0.0,6.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:29.500000,1,10.0,0,0,0,1,0,0,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:29.600000,1,10.0,0,0,0,0,0,1,-86.0,0.0,5.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:29.800000,1,10.0,1,0,0,0,0,0,-82.0,0.0,9.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:29.900000,1,10.0,1,0,0,0,0,1,-86.0,0.0,5.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:30.100000,1,10.0,0,0,0,0,0,0,12.0,0.0,12.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:30.300000,1,10.0,0,0,0,0,0,1,-90.0,0.0,1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:30.500000,1,10.0,1,0,0,0,0,1,-96.0,0.0,-5.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:30.800000,1,10.0,0,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:31,1,10.0,1,0,0,0,0,1,-82.0,0.0,9.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:31.300000,1,10.0,0,0,0,1,0,0,-90.0,0.0,1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:31.500000,1,10.0,1,0,0,0,0,1,-53.0,0.0,38.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:31.700000,1,10.0,0,0,0,1,0,0,-82.0,0.0,9.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:31.800000,1,10.0,1,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:32,1,10.0,0,0,0,0,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:32.200000,1,10.0,0,0,0,0,0,0,-52.0,0.0,39.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:32.500000,1,10.0,0,0,0,0,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:32.700000,1,10.0,1,0,0,0,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:32.900000,1,10.0,0,0,0,0,0,0,-53.0,0.0,38.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:33,1,10.0,0,0,0,0,0,1,-90.0,0.0,1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:33.300000,1,10.0,0,0,0,0,0,1,-89.0,0.0,2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:33.500000,1,10.0,0,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:33.800000,1,10.0,0,0,0,1,0,0,-90.0,0.0,1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:33.900000,1,10.0,0,0,0,1,0,1,-80.0,0.0,11.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:34,1,10.0,0,0,0,1,0,1,-93.0,0.0,-2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:34.200000,1,10.0,0,0,0,0,0,1,-93.0,0.0,-2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:34.600000,1,10.0,0,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:34.800000,1,10.0,0,0,0,0,0,0,-53.0,0.0,38.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:35.100000,1,10.0,1,0,0,0,0,1,-53.0,0.0,38.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:35.200000,1,10.0,0,0,0,0,0,0,-84.0,0.0,7.0,66880.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:35.400000,1,10.0,1,0,0,0,0,1,-94.0,0.0,-3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:35.700000,1,10.0,0,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:36,1,10.0,0,0,0,0,0,1,-90.0,0.0,1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:36.200000,1,10.0,0,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:36.500000,1,10.0,0,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:36.600000,1,10.0,0,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:36.700000,1,10.0,0,0,0,0,0,0,-54.0,0.0,37.0,69696.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:36.900000,1,10.0,0,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:37,1,10.0,0,0,0,1,0,0,-93.0,0.0,-2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:37.200000,1,10.0,0,0,0,0,0,1,-87.0,0.0,4.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:37.400000,1,10.0,1,0,0,0,0,1,-52.0,0.0,39.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:37.800000,1,10.0,1,0,0,0,0,1,-82.0,0.0,9.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:37.900000,1,10.0,1,0,0,0,0,1,-82.0,0.0,9.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:38.100000,1,10.0,0,0,0,0,0,0,-83.0,0.0,8.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:38.300000,1,10.0,1,0,0,0,0,0,-86.0,0.0,5.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:38.500000,1,10.0,0,0,0,1,0,0,-89.0,0.0,2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:38.800000,1,10.0,0,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:39,1,10.0,0,0,0,1,0,0,-82.0,0.0,9.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
